pos,SRR,low_mean,mean,high_mean,2,max,min,3,1,num_reads,avg_phred_score
54,SRR23143781,32.6067,32.7862,32.9657,Max,32.876,32.6965,Min,Mean,0,32.09935
55,SRR23143781,32.6043,32.7387,32.8731,Max,32.8059,32.6715,Min,Mean,0,32.09935
56,SRR23143781,32.563,32.7852,33.0075,Max,32.8964,32.6741,Min,Mean,0,32.09935
57,SRR23143781,32.5666,32.7631,32.9596,Max,32.8613,32.6649,Min,Mean,0,32.09935
58,SRR23143781,32.5402,32.7559,32.9716,Max,32.8637,32.6481,Min,Mean,19592,32.09935
59,SRR23143781,32.2631,32.6855,33.1078,Max,32.8967,32.4743,Min,Mean,-19592,32.09935
60,SRR23143781,32.597,32.7651,32.9332,Max,32.8491,32.681,Min,Mean,0,32.09935
61,SRR23143781,32.4936,32.7161,32.9386,Max,32.8273,32.6049,Min,Mean,7,32.09935
62,SRR23143781,32.4123,32.6745,32.9368,Max,32.8057,32.5434,Min,Mean,-7,32.09935
63,SRR23143781,32.4518,32.6838,32.9158,Max,32.7998,32.5678,Min,Mean,18824,32.09935
64,SRR23143781,32.5335,32.6684,32.8034,Max,32.7359,32.601,Min,Mean,-18824,32.09935
65,SRR23143781,32.5158,32.6675,32.8191,Max,32.7433,32.5917,Min,Mean,0,32.09935
66,SRR23143781,32.5027,32.6623,32.8219,Max,32.7421,32.5825,Min,Mean,0,32.09935
67,SRR23143781,32.4516,32.6649,32.8782,Max,32.7716,32.5582,Min,Mean,0,32.09935
68,SRR23143781,32.4557,32.6264,32.7971,Max,32.7118,32.541,Min,Mean,0,32.09935
69,SRR23143781,32.5064,32.6519,32.7974,Max,32.7247,32.5792,Min,Mean,0,32.09935
70,SRR23143781,32.5165,32.6361,32.7557,Max,32.6959,32.5763,Min,Mean,0,32.09935
71,SRR23143781,32.4598,32.6251,32.7903,Max,32.7077,32.5425,Min,Mean,0,32.09935
72,SRR23143781,32.4297,32.6068,32.7839,Max,32.6953,32.5183,Min,Mean,0,32.09935
73,SRR23143781,32.4645,32.5479,32.6313,Max,32.5896,32.5062,Min,Mean,0,32.09935
74,SRR23143781,32.424,32.4935,32.5629,Max,32.5282,32.4588,Min,Mean,0,32.09935
75,SRR23143781,32.4296,32.4732,32.5168,Max,32.495,32.4514,Min,Mean,0,32.09935
76,SRR23143781,32.1528,32.3594,32.5661,Max,32.4628,32.2561,Min,Mean,0,32.09935
77,SRR23143781,31.9549,32.2861,32.6174,Max,32.4517,32.1205,Min,Mean,0,32.09935
78,SRR23143781,31.8543,32.2791,32.704,Max,32.4916,32.0667,Min,Mean,0,32.09935
79,SRR23143781,31.9602,32.2842,32.6082,Max,32.4462,32.1222,Min,Mean,0,32.09935
80,SRR23143781,31.9208,32.2915,32.6623,Max,32.4769,32.1062,Min,Mean,0,32.09935
81,SRR23143781,31.7682,32.2337,32.6992,Max,32.4664,32.0009,Min,Mean,0,32.09935
82,SRR23143781,31.6845,32.1767,32.669,Max,32.4229,31.9306,Min,Mean,0,32.09935
83,SRR23143781,31.5401,32.1301,32.7202,Max,32.4252,31.8351,Min,Mean,0,32.09935
84,SRR23143781,31.5253,32.1158,32.7062,Max,32.411,31.8205,Min,Mean,0,32.09935
85,SRR23143781,31.5988,32.1273,32.6558,Max,32.3916,31.863,Min,Mean,0,32.09935
86,SRR23143781,31.5338,32.0958,32.6579,Max,32.3769,31.8148,Min,Mean,0,32.09935
87,SRR23143781,31.3609,32.0277,32.6945,Max,32.3611,31.6943,Min,Mean,0,32.09935
88,SRR23143781,31.1457,31.9831,32.8205,Max,32.4018,31.5644,Min,Mean,1,32.09935
89,SRR23143781,31.1095,31.9273,32.745,Max,32.3362,31.5184,Min,Mean,-1,32.09935
90,SRR23143781,31.0639,31.9598,32.8558,Max,32.4078,31.5119,Min,Mean,0,32.09935
91,SRR23143781,30.9235,31.8557,32.7879,Max,32.3218,31.3896,Min,Mean,50,32.09935
92,SRR23143781,30.8483,31.8141,32.7799,Max,32.297,31.3312,Min,Mean,-50,32.09935
93,SRR23143781,30.7716,31.7512,32.7309,Max,32.2411,31.2614,Min,Mean,37510,32.09935
94,SRR23143781,30.7245,31.7322,32.7399,Max,32.236,31.2283,Min,Mean,-37510,32.09935
95,SRR23143781,30.7645,31.7608,32.7571,Max,32.259,31.2626,Min,Mean,0,32.09935
96,SRR23143781,30.8337,31.7792,32.7246,Max,32.2519,31.3064,Min,Mean,1,32.09935
97,SRR23143781,30.652,31.7239,32.7957,Max,32.2598,31.188,Min,Mean,-1,32.09935
98,SRR23143781,30.5771,31.6717,32.7663,Max,32.219,31.1244,Min,Mean,0,32.09935
99,SRR23143781,30.4649,31.6572,32.8494,Max,32.2533,31.0611,Min,Mean,2,32.09935
100,SRR23143781,30.377,31.5831,32.7891,Max,32.1861,30.9801,Min,Mean,-2,32.09935
101,SRR23143781,30.0464,31.4634,32.8803,Max,32.1718,30.7549,Min,Mean,0,32.09935
102,SRR23143781,29.6351,31.3183,33.0015,Max,32.1599,30.4767,Min,Mean,0,32.09935
103,SRR23143781,29.3598,31.1992,33.0386,Max,32.1189,30.2795,Min,Mean,0,32.09935
104,SRR23143781,29.3035,31.1278,32.9522,Max,32.04,30.2157,Min,Mean,1,32.09935
105,SRR23143781,29.4251,31.0481,32.671,Max,31.8595,30.2366,Min,Mean,-1,32.09935
106,SRR23143781,29.7466,31.0456,32.3447,Max,31.6952,30.3961,Min,Mean,0,32.09935
107,SRR23143781,30.0533,31.0289,32.0045,Max,31.5167,30.5411,Min,Mean,0,32.09935
108,SRR23143781,30.0393,31.0345,32.0297,Max,31.5321,30.5369,Min,Mean,0,32.09935
109,SRR23143781,30.0962,31.1351,32.1739,Max,31.6545,30.6156,Min,Mean,0,32.09935
110,SRR23143781,30.0811,31.2183,32.3554,Max,31.7869,30.6497,Min,Mean,0,32.09935
111,SRR23143781,29.9746,31.2007,32.4267,Max,31.8137,30.5876,Min,Mean,1,32.09935
112,SRR23143781,29.8011,31.1847,32.5683,Max,31.8765,30.4929,Min,Mean,-1,32.09935
113,SRR23143781,29.4961,31.0515,32.6069,Max,31.8292,30.2738,Min,Mean,0,32.09935
114,SRR23143781,29.2628,30.9931,32.7234,Max,31.8583,30.1279,Min,Mean,0,32.09935
115,SRR23143781,29.1585,30.9675,32.7764,Max,31.8719,30.063,Min,Mean,0,32.09935
116,SRR23143781,29.2677,30.9322,32.5967,Max,31.7645,30.1,Min,Mean,0,32.09935
117,SRR23143781,29.5213,30.9043,32.2873,Max,31.5958,30.2128,Min,Mean,0,32.09935
118,SRR23143781,29.7279,30.8193,31.9107,Max,31.365,30.2736,Min,Mean,1,32.09935
119,SRR23143781,29.5694,30.8349,32.1003,Max,31.4676,30.2021,Min,Mean,-1,32.09935
120,SRR23143781,29.8013,30.9832,32.1652,Max,31.5742,30.3923,Min,Mean,0,32.09935
121,SRR23143781,29.873,31.0046,32.1363,Max,31.5704,30.4388,Min,Mean,70,32.09935
122,SRR23143781,29.8166,31.0494,32.2822,Max,31.6658,30.433,Min,Mean,-70,32.09935
123,SRR23143781,29.6978,31.0357,32.3735,Max,31.7046,30.3668,Min,Mean,0,32.09935
124,SRR23143781,29.5505,30.9948,32.4392,Max,31.717,30.2726,Min,Mean,0,32.09935
125,SRR23143781,29.4486,30.9478,32.447,Max,31.6974,30.1982,Min,Mean,17250,32.09935
126,SRR23143781,29.3274,30.8254,32.3233,Max,31.5743,30.0764,Min,Mean,-17250,32.09935
127,SRR23143781,29.2796,30.8765,32.4735,Max,31.675,30.0781,Min,Mean,0,32.09935
128,SRR23143781,29.4156,30.8024,32.1893,Max,31.4959,30.109,Min,Mean,0,32.09935
129,SRR23143781,29.5093,30.8154,32.1214,Max,31.4684,30.1623,Min,Mean,0,32.09935
130,SRR23143781,29.619,30.857,32.0949,Max,31.476,30.238,Min,Mean,0,32.09935
131,SRR23143781,29.706,30.875,32.0441,Max,31.4596,30.2905,Min,Mean,0,32.09935
132,SRR23143781,29.7845,30.9023,32.02,Max,31.4612,30.3434,Min,Mean,0,32.09935
133,SRR23143781,29.7506,30.9057,32.0608,Max,31.4832,30.3281,Min,Mean,1,32.09935
134,SRR23143781,29.5938,30.9012,32.2086,Max,31.5549,30.2475,Min,Mean,5,32.09935
135,SRR23143781,29.4839,30.8636,32.2433,Max,31.5535,30.1738,Min,Mean,-6,32.09935
136,SRR23143781,29.2522,30.7837,32.3152,Max,31.5494,30.018,Min,Mean,1,32.09935
137,SRR23143781,29.1438,30.7404,32.3371,Max,31.5388,29.9421,Min,Mean,-1,32.09935
138,SRR23143781,29.1319,30.7072,32.2824,Max,31.4948,29.9195,Min,Mean,0,32.09935
139,SRR23143781,29.2014,30.6606,32.1197,Max,31.3902,29.931,Min,Mean,0,32.09935
140,SRR23143781,29.3074,30.6439,31.9804,Max,31.3122,29.9757,Min,Mean,0,32.09935
141,SRR23143781,29.477,30.6744,31.8718,Max,31.2731,30.0757,Min,Mean,2,32.09935
142,SRR23143781,29.5116,30.6966,31.8817,Max,31.2892,30.1041,Min,Mean,-2,32.09935
143,SRR23143781,29.5843,30.7272,31.87,Max,31.2986,30.1557,Min,Mean,17296,32.09935
144,SRR23143781,29.6196,30.7095,31.7994,Max,31.2545,30.1646,Min,Mean,-17296,32.09935
145,SRR23143781,29.4452,30.7126,31.98,Max,31.3463,30.0789,Min,Mean,37739,32.09935
146,SRR23143781,29.2767,30.6841,32.0915,Max,31.3878,29.9804,Min,Mean,-37738,32.09935
147,SRR23143781,29.1136,30.6085,32.1035,Max,31.356,29.8611,Min,Mean,1,32.09935
148,SRR23143781,28.9793,30.5499,32.1205,Max,31.3352,29.7646,Min,Mean,4,32.09935
149,SRR23143781,28.9026,30.5301,32.1576,Max,31.3438,29.7163,Min,Mean,-6,32.09935
150,SRR23143781,28.3815,29.8426,31.3036,Max,30.5731,29.112,Min,Mean,5345458,32.09935
0,SRR23143755,32.3777,32.7874,33.1971,Max,32.9923,32.5826,Min,Mean,4,31.7835
1,SRR23143755,33.0815,33.137,33.1926,Max,33.1648,33.1092,Min,Mean,12,31.7835
2,SRR23143755,32.8972,33.0879,33.2786,Max,33.1832,32.9926,Min,Mean,-16,31.7835
3,SRR23143755,32.7952,33.0935,33.3917,Max,33.2426,32.9443,Min,Mean,0,31.7835
4,SRR23143755,33.0111,33.1246,33.2381,Max,33.1814,33.0679,Min,Mean,0,31.7835
5,SRR23143755,33.2231,33.228,33.233,Max,33.2305,33.2256,Min,Mean,0,31.7835
6,SRR23143755,33.1234,33.1787,33.2341,Max,33.2064,33.1511,Min,Mean,0,31.7835
7,SRR23143755,33.1725,33.1862,33.1999,Max,33.193,33.1793,Min,Mean,0,31.7835
8,SRR23143755,33.0479,33.2062,33.3644,Max,33.2853,33.1271,Min,Mean,0,31.7835
9,SRR23143755,33.2792,33.283,33.2867,Max,33.2848,33.2811,Min,Mean,0,31.7835
10,SRR23143755,33.2845,33.3228,33.361,Max,33.3419,33.3036,Min,Mean,1,31.7835
11,SRR23143755,33.2547,33.2549,33.2551,Max,33.255,33.2548,Min,Mean,-1,31.7835
12,SRR23143755,33.2804,33.2905,33.3006,Max,33.2955,33.2854,Min,Mean,0,31.7835
13,SRR23143755,33.2505,33.2794,33.3084,Max,33.2939,33.2649,Min,Mean,0,31.7835
