pos,mean-2stdev,mean,mean+2stdev,numFiles,max,min,highOutliers,lowOutliers,#reads
92,28.6856,30.8356,32.9855,2,31.9105,29.7606,"","",314
93,28.5656,30.9835,33.4013,2,32.1924,29.7746,"","",219
94,27.8378,30.4485,33.0591,2,31.7538,29.1431,"","",120
95,27.9732,30.0487,32.1242,2,31.0864,29.0109,"","",256
96,27.9729,30.1751,32.3772,2,31.2761,29.0740,"","",175
97,27.8513,30.3816,32.9118,2,31.6467,29.1164,"","",140
98,28.1832,30.5271,32.8711,2,31.6991,29.3551,"","",171
99,28.0285,30.5906,33.1527,2,31.8716,29.3095,"","",172
100,27.8286,30.6491,33.4696,2,32.0593,29.2388,"","",307
101,27.6945,30.4849,33.2753,2,31.8801,29.0897,"","",267
102,27.5487,30.4126,33.2764,2,31.8445,28.9806,"","",249
103,27.5281,30.4914,33.4546,2,31.9730,29.0098,"","",295
104,27.8410,30.5797,33.3183,2,31.9490,29.2103,"","",460
105,27.7695,30.6497,33.5300,2,32.0898,29.2096,"","",213
106,27.8873,30.3358,32.7842,2,31.5600,29.1116,"","",227
107,27.9732,30.2286,32.4841,2,31.3564,29.1009,"","",205
108,28.1158,30.3397,32.5636,2,31.4516,29.2277,"","",256
109,28.3239,30.3732,32.4225,2,31.3978,29.3485,"","",322
110,28.5881,29.9450,31.3018,2,30.6234,29.2665,"","",273
111,28.4662,30.2267,31.9872,2,31.1070,29.3464,"","",335
112,28.4193,30.2793,32.1393,2,31.2093,29.3493,"","",305
113,27.9796,30.5313,33.0829,2,31.8071,29.2554,"","",946
114,28.2251,30.2178,32.2106,2,31.2142,29.2215,"","",396
115,28.2926,30.6513,33.0099,2,31.8306,29.4719,"","",445
116,28.5638,30.6752,32.7866,2,31.7309,29.6195,"","",510
117,28.3236,30.5011,32.6787,2,31.5899,29.4123,"","",487
118,28.4700,30.7044,32.9387,2,31.8216,29.5872,"","",696
119,28.1722,30.5039,32.8355,2,31.6697,29.3380,"","",474
120,27.7772,30.3049,32.8327,2,31.5688,29.0411,"","",515
121,27.8517,30.2598,32.6680,2,31.4639,29.0558,"","",510
122,27.9361,30.4131,32.8901,2,31.6516,29.1746,"","",327
123,28.3993,30.1241,31.8488,2,30.9864,29.2617,"","",362
124,28.1862,30.4994,32.8126,2,31.6560,29.3428,"","",313
125,28.3828,30.7483,33.1138,2,31.9310,29.5655,"","",257
126,28.3241,30.3062,32.2883,2,31.2972,29.3151,"","",271
127,29.2912,30.7712,32.2513,2,31.5113,30.0312,"","",269
128,28.9729,30.4765,31.9801,2,31.2283,29.7247,"","",255
129,30.3003,31.1581,32.0159,2,31.5870,30.7292,"","",295
130,30.6539,31.1693,31.6847,2,31.4270,30.9116,"","",232
131,30.8572,31.2737,31.6903,2,31.4820,31.0654,"","",267
132,30.7180,31.2026,31.6872,2,31.4449,30.9603,"","",300
133,30.6075,31.1028,31.5981,2,31.3505,30.8551,"","",249
134,30.3015,31.1136,31.9257,2,31.5196,30.7076,"","",264
135,29.7135,30.9037,32.0939,2,31.4988,30.3086,"","",264
136,28.8792,30.5708,32.2624,2,31.4166,29.7250,"","",323
137,29.3078,30.8440,32.3801,2,31.6121,30.0759,"","",193
138,28.8420,30.6442,32.4465,2,31.5454,29.7431,"","",213
139,28.5801,30.4445,32.3090,2,31.3768,29.5123,"","",226
140,28.6088,30.8037,32.9986,2,31.9011,29.7062,"","",705
141,28.7104,30.6525,32.5945,2,31.6235,29.6814,"","",247
142,28.2792,30.1683,32.0573,2,31.1128,29.2238,"","",476
143,28.6881,30.6621,32.6361,2,31.6491,29.6751,"","",215
144,28.8168,30.6999,32.5831,2,31.6415,29.7584,"","",276
145,28.6209,30.6593,32.6977,2,31.6785,29.6401,"","",290
146,28.0969,30.2676,32.4384,2,31.3530,29.1822,"","",273
147,28.0788,30.2475,32.4163,2,31.3319,29.1632,"","",275
148,27.7590,29.9687,32.1784,2,31.0735,28.8639,"","",291
149,27.2885,29.1755,31.0626,2,30.1191,28.2320,"","",255
150,27.2192,29.5376,31.8560,2,30.6968,28.3784,"","",319
151,27.9079,29.9784,32.0488,2,31.0136,28.9431,"","",288
152,27.8831,30.0183,32.1536,2,31.0860,28.9507,"","",377
153,27.7194,29.9802,32.2409,2,31.1105,28.8498,"","",331
154,28.0558,30.3301,32.6044,2,31.4672,29.1929,"","",618
155,28.1198,30.1953,32.2708,2,31.2330,29.1575,"","",429
156,27.8268,30.0610,32.2953,2,31.1781,28.9439,"","",479
157,28.0390,30.2486,32.4581,2,31.3533,29.1438,"","",639
158,27.8901,30.1768,32.4636,2,31.3202,29.0335,"","",722
159,27.9526,30.0016,32.0506,2,31.0261,28.9771,"","",782
160,27.5464,29.7777,32.0089,2,30.8933,28.6620,"","",751
161,27.5813,29.4241,31.2669,2,30.3455,28.5027,"","",572
162,27.1736,29.4833,31.7930,2,30.6381,28.3284,"","",543
163,27.1956,29.4651,31.7346,2,30.5999,28.3303,"","",672
164,27.1139,29.4451,31.7762,2,30.6106,28.2795,"","",566
165,28.0124,29.8716,31.7309,2,30.8013,28.9420,"","",632
166,27.9958,30.0682,32.1406,2,31.1044,29.0320,"","",421
167,28.4185,30.1420,31.8655,2,31.0038,29.2803,"","",470
168,28.1242,29.8627,31.6012,2,30.7320,28.9934,"","",326
169,28.2629,29.8373,31.4118,2,30.6246,29.0501,"","",510
170,28.6052,29.6652,30.7252,2,30.1952,29.1352,"","",253
171,29.0410,30.0068,30.9727,2,30.4898,29.5239,"","",334
172,29.3921,30.3084,31.2247,2,30.7665,29.8502,"","",264
173,29.5966,30.2505,30.9044,2,30.5775,29.9236,"","",269
174,29.1029,29.9993,30.8957,2,30.4475,29.5511,"","",254
