Release_Date,Record_ID_Count
2-4-2022,6
2-17-2022,7
3/31/2022,967
4/27/2022,989
5/11/2022,989
5/11/2022,989
6/3/2022,1048
7/14/2022,1021
7/15/2022,1021
7/21/2022,1021
7/25/2022,1021
8/4/2022,1025
8/6/2022,1025
8/17/2022,1025
12/21/2022,1272
2/1/2022,1756
